INSTNM,CONTROL,TUITIONFEE_IN,DEBT_MDN,MD_EARN_WNE_P10,C150_4,STABBR
McMurry University,2,32340.0,19000.0,48779.0,0.4429,TX
American University,2,58771.0,19500.0,77370.0,0.7549,DC
New Mexico Institute of Mining and Technology,1,9476.0,11057.0,76489.0,0.5705,NM
Concordia University-Chicago,2,37488.0,14000.0,54089.0,0.3646,IL
University of Illinois Chicago,1,14338.0,13657.0,68740.0,0.6162,IL
Trinity Washington University,2,26610.0,19402.0,53804.0,0.4929,DC
Brescia University,2,31550.0,20185.0,45500.0,0.5371,KY
Rocky Mountain College of Art and Design,3,20190.0,9500.0,42958.0,0.3176,CO
University of Silicon Valley,3,22480.0,18334.0,51017.0,0.2874,CA
Fisher College,2,35689.0,12500.0,49669.0,0.2775,MA
Renton Technical College,1,6308.0,6993.0,49782.0,0.4586,WA
Lafayette College,2,65398.0,14000.0,91410.0,0.8759,PA
Davis College,2,18000.0,17290.0,38450.0,0.2667,NY
Saint Johns University,2,55816.0,23250.0,76786.0,0.7538,MN
Wellesley College,2,67176.0,8700.0,84803.0,0.9153,MA
Centenary College of Louisiana,2,41200.0,15250.0,50330.0,0.5621,LA
Appalachian Bible College,2,18760.0,6767.0,37467.0,0.7105,WV
CUNY Hunter College,1,7382.0,8812.0,63163.0,0.5686,NY
Nelson University,2,25064.0,14750.0,46238.0,0.4156,TX
Long Island University,2,42432.0,19500.0,59950.0,0.5707,NY
Kenyon College,2,71520.0,15000.0,71830.0,0.8234,OH
University of Central Arkansas,1,10523.0,13000.0,45938.0,0.5353,AR
University of Wyoming,1,7768.0,12000.0,56880.0,0.5884,WY
Platt College-Anaheim,3,14922.0,15215.0,40669.0,0.6436,CA
Simmons University,2,46874.0,21780.0,63494.0,0.7234,MA
McPherson College,2,37310.0,13833.0,52084.0,0.3392,KS
University of Puerto Rico-Aguadilla,1,5954.0,5500.0,27997.0,0.4633,PR
Morehouse College,2,32893.0,18500.0,52889.0,0.5944,GA
Mississippi Valley State University,1,7692.0,19203.0,31919.0,0.2676,MS
St Olaf College,2,59760.0,23250.0,65543.0,0.84,MN
Atlanta Metropolitan State College,1,3248.0,6606.0,33252.0,0.1741,GA
Wentworth Institute of Technology,2,42884.0,18500.0,82721.0,0.6824,MA
Hamilton College,2,68960.0,15015.0,78411.0,0.9063,NY
College of Saint Benedict,2,55756.0,23250.0,63260.0,0.7712,MN
California State University-Stanislaus,1,8246.0,11750.0,63188.0,0.5345,CA
Atlantic University,2,8280.0,4500.0,25272.0,0.3941,PR
Modesto Junior College,1,1282.0,3375.0,42368.0,0.2957,CA
Strayer University-New Jersey,3,13920.0,14000.0,40092.0,0.0,NJ
Doane University,2,43985.0,19500.0,53316.0,0.5714,NE
University of Health Sciences and Pharmacy in St. Louis,2,32550.0,14000.0,137047.0,0.6168,MO
Northwestern Health Sciences University,2,12015.0,8250.0,48666.0,0.0,MN
Trinity College,2,70770.0,21000.0,90779.0,0.8377,CT
University of the Potomac-VA Campus,3,6660.0,7500.0,34961.0,0.5,VA
Clover Park Technical College,1,6634.0,9063.0,41787.0,0.4275,WA
Nova Southeastern University,2,38700.0,16985.0,59209.0,0.6334,FL
United States Merchant Marine Academy,1,895.0,6500.0,90610.0,0.8238,NY
University of Connecticut-Avery Point,1,18140.0,18610.0,73997.0,0.6162,CT
Oklahoma City University,2,35648.0,15250.0,54655.0,0.6488,OK
Simpson University,2,39708.0,13000.0,54340.0,0.4884,CA
Bard College,2,66436.0,19000.0,46543.0,0.6756,NY
Pennsylvania State University-Penn State Shenango,1,14024.0,19500.0,63435.0,0.4194,PA
Virginia University of Lynchburg,2,11360.0,9859.0,28396.0,0.3762,VA
Dallas College,1,2730.0,5500.0,41714.0,0.3232,TX
Montserrat College of Art,2,40690.0,23707.0,33022.0,0.5347,MA
Walsh University,2,35745.0,20000.0,59764.0,0.585,OH
Oklahoma State University Institute of Technology,1,5774.0,9000.0,45634.0,0.4239,OK
Universidad Teologica del Caribe,2,6660.0,5750.0,23536.0,0.3889,PR
Mercyhurst University,2,45770.0,19500.0,47452.0,0.6017,PA
Haverford College,2,70688.0,12000.0,79966.0,0.8964,PA
Grayson College,1,3052.0,7500.0,40873.0,0.3994,TX
Governors State University,1,12004.0,14000.0,58169.0,0.2211,IL
Lane College,2,11790.0,16750.0,31670.0,0.1839,TN
California State University-Sacramento,1,8018.0,12500.0,64876.0,0.5629,CA
Augusta University,1,8414.0,13015.0,48472.0,0.4881,GA
EDP University of Puerto Rico Inc-San Juan,2,7050.0,10500.0,22844.0,0.2439,PR
Mitchell College,2,40490.0,15000.0,39115.0,0.4218,CT
Bennett College,2,19140.0,17351.0,36654.0,0.25,NC
Newschool of Architecture and Design,3,30291.0,23618.0,68891.0,0.619,CA
California Baptist University,2,41228.0,20500.0,61504.0,0.6188,CA
New York University,2,62796.0,18500.0,82509.0,0.8757,NY
Purdue University Northwest,1,8675.0,13031.0,48318.0,0.4291,IN
South University-Columbia,3,18145.0,13000.0,34421.0,0.2333,SC
Northern Kentucky University,1,11088.0,15159.0,50220.0,0.5224,KY
Point Loma Nazarene University,2,46250.0,19500.0,63998.0,0.7717,CA
College of Biblical Studies-Houston,2,9350.0,14750.0,39260.0,0.4,TX
Saint Leo University,2,30000.0,14250.0,48364.0,0.45,FL
Robert Morris University,2,35970.0,23250.0,62105.0,0.6569,PA
University of Central Oklahoma,1,8818.0,13000.0,48351.0,0.3676,OK
Rhode Island College,1,11300.0,13833.0,56318.0,0.4813,RI
Morris College,2,16664.0,14750.0,30614.0,0.1735,SC
Pacific Lutheran University,2,52254.0,17074.0,66990.0,0.6857,WA
Gods Bible School and College,2,7710.0,5500.0,37722.0,0.4048,OH
University of Connecticut,1,21044.0,18610.0,73997.0,0.8329,CT
Park University,2,17500.0,12500.0,56309.0,0.3843,MO
Loyola University Maryland,2,57150.0,23882.0,82652.0,0.7919,MD
Ringling College of Art and Design,2,57900.0,27000.0,43325.0,0.7207,FL
University of Houston-Clear Lake,1,7770.0,13548.0,59004.0,0.5163,TX
University of Saint Mary,2,35380.0,14817.0,59483.0,0.4776,KS
Texas Wesleyan University,2,39582.0,13992.0,54053.0,0.3154,TX
Keystone College,2,18300.0,16250.0,44976.0,0.3587,PA
University of New England,2,44210.0,20000.0,55921.0,0.6835,ME
South University-Virginia Beach,3,18145.0,13000.0,34421.0,0.0833,VA
St. John's College,2,40684.0,19500.0,51584.0,0.7143,MD
Bellevue College,1,4436.0,8282.0,56310.0,0.3578,WA
University of Guam,1,6110.0,12500.0,35946.0,0.369,GU
Union College,2,69039.0,21085.0,88604.0,0.8039,NY
Wheeling University,2,29875.0,15375.0,57949.0,0.2333,WV
University of Missouri-Columbia,1,14837.0,16500.0,63403.0,0.7494,MO
Longwood University,1,15744.0,19000.0,52347.0,0.6123,VA
Alaska Pacific University,2,20760.0,12696.0,54271.0,0.4722,AK
Northwestern State University of Louisiana,1,8864.0,15000.0,47021.0,0.432,LA
Carleton College,2,68892.0,15960.0,75525.0,0.896,MN
South Florida State College,1,3165.0,5387.0,39990.0,0.4764,FL
Broward College,1,2830.0,4500.0,41939.0,0.3913,FL
Utah Valley University,1,6507.0,8899.0,55486.0,0.4511,UT
Platt College-Los Angeles,3,14922.0,15215.0,40669.0,0.6345,CA
Mount Mary University,2,35420.0,19000.0,48745.0,0.4296,WI
Malone University,2,37160.0,20515.0,48909.0,0.4498,OH
Goucher College,2,53350.0,17882.0,53023.0,0.5734,MD
Plaza College,3,15450.0,13348.0,31519.0,0.6762,NY
Husson University,2,23304.0,21500.0,45025.0,0.5935,ME
William Jessup University,2,37150.0,14419.0,56257.0,0.5598,CA
California College of the Arts,2,60226.0,19500.0,49414.0,0.6122,CA
Logan University,2,9000.0,7767.0,55838.0,0.2222,MO
Missouri University of Science and Technology,1,14984.0,19000.0,82957.0,0.6437,MO
Chattanooga College Medical Dental and & Technical Careers,3,12709.0,5457.0,25954.0,0.12,TN
New York Film Academy,3,36920.0,10750.0,29633.0,0.677,CA
Massachusetts College of Art and Design,1,15400.0,19500.0,43582.0,0.6887,MA
Rasmussen University-Florida,3,15314.0,13000.0,39080.0,0.4155,FL
Caribbean University-Ponce,2,8844.0,7000.0,22842.0,0.3667,PR
Polytechnic University of Puerto Rico-Miami,2,14367.0,12830.0,47540.0,1.0,FL
Bates College,2,66590.0,12442.0,69498.0,0.8969,ME
Wesleyan College,2,27650.0,15000.0,44317.0,0.4452,GA
Merrimack College,2,53962.0,23750.0,75584.0,0.7005,MA
University of Wisconsin-Superior,1,8812.0,14055.0,49606.0,0.4188,WI
College of the Atlantic,2,47997.0,17723.0,40264.0,0.6829,ME
Franklin University,2,9577.0,14238.0,51892.0,0.1111,OH
Concordia University Texas,2,23500.0,15134.0,60883.0,0.446,TX
Lubbock Christian University,2,28540.0,15750.0,53787.0,0.5136,TX
Maine Maritime Academy,1,15158.0,26812.0,89964.0,0.5818,ME
Academy of Art University,3,30736.0,11000.0,39008.0,0.3432,CA
California State University-Fullerton,1,7470.0,12000.0,62951.0,0.7018,CA
Kettering College,2,16320.0,19456.0,67492.0,0.6512,OH
Ohio State University-Marion Campus,1,9488.0,14500.0,60409.0,0.2669,OH
Ohio University-Main Campus,1,14158.0,15332.0,52581.0,0.6545,OH
Caribbean University-Carolina,2,8844.0,7000.0,22842.0,0.4444,PR
Mount Saint Mary's University,2,49564.0,22167.0,72379.0,0.5325,CA
Tacoma Community College,1,5507.0,7718.0,47168.0,0.3154,WA
Massachusetts Institute of Technology,2,62396.0,12462.0,143372.0,0.9641,MA
Ripon College,2,51900.0,19500.0,54902.0,0.633,WI
Santa Fe College,1,2563.0,7125.0,41631.0,0.5343,FL
California State University-Long Beach,1,7350.0,12227.0,64403.0,0.6888,CA
Cascadia College,1,5157.0,5215.0,54133.0,0.321,WA
The College of Wooster,2,61640.0,21115.0,59629.0,0.7394,OH
Maryville University of Saint Louis,2,27166.0,10041.0,62105.0,0.6622,MO
University of Mississippi,1,9772.0,15250.0,50994.0,0.7174,MS
San Jose State University,1,8410.0,12000.0,78988.0,0.6922,CA
Hiram College,2,27600.0,19500.0,54311.0,0.5451,OH
Capital University,2,43234.0,20927.0,54143.0,0.6027,OH
Heritage University,2,20928.0,11925.0,49416.0,0.5368,WA
West Virginia University at Parkersburg,1,4612.0,8250.0,35171.0,0.0909,WV
Herzing University-Madison,2,13450.0,11756.0,36909.0,0.284,WI
Oak Hills Christian College,2,19440.0,9500.0,35983.0,0.2273,MN
Le Moyne College,2,40330.0,18435.0,62731.0,0.7313,NY
Gordon State College,1,3628.0,8750.0,37871.0,0.2043,GA
DePaul University,2,45999.0,19383.0,68751.0,0.678,IL
Northwest University,2,36035.0,15000.0,54914.0,0.7078,WA
University of Wisconsin-Stevens Point,1,9488.0,14674.0,52021.0,0.5078,WI
Lincoln University,1,9796.0,19000.0,39463.0,0.2085,MO
Stevens Institute of Technology,2,63462.0,23250.0,108772.0,0.8688,NJ
Wesleyan University,2,70342.0,13824.0,73897.0,0.9264,CT
San Francisco State University,1,7950.0,12923.0,68077.0,0.5037,CA
University of California-San Diego,1,16758.0,14778.0,84943.0,0.8605,CA
Embry-Riddle Aeronautical University-Worldwide,2,12097.0,14250.0,84131.0,0.2055,FL
Vermont State University,1,11952.0,11000.0,50331.0,0.4722,VT
Johnson C Smith University,2,21300.0,20500.0,42680.0,0.3429,NC
Graceland University-Lamoni,2,20950.0,14209.0,47361.0,0.4195,IA
Illinois State University,1,16144.0,15750.0,62117.0,0.6454,IL
University of Mary Hardin-Baylor,2,32020.0,15750.0,56132.0,0.4931,TX
Cornell College,2,52660.0,21500.0,53460.0,0.6182,IA
University of Charleston,2,33800.0,12666.0,55774.0,0.4555,WV
Wilmington University,2,12630.0,14308.0,53844.0,0.1982,DE
West Coast University-Miami,3,23317.0,24145.0,102672.0,0.3333,FL
Peirce College,2,15060.0,21875.0,50660.0,0.1,PA
Pennsylvania State University-Penn State Scranton,1,15208.0,19500.0,63435.0,0.3929,PA
Concordia College at Moorhead,2,31170.0,20895.0,59317.0,0.6107,MN
Claflin University,2,18282.0,22049.0,40304.0,0.516,SC
D'Youville  University,2,34940.0,19750.0,66942.0,0.6749,NY
Pennsylvania Institute of Technology,2,14850.0,6334.0,35703.0,0.2105,PA
Weber State University,1,6557.0,9666.0,56287.0,0.462,UT
Metropolitan State University,1,9840.0,12900.0,64705.0,0.4357,MN
Calvin University,2,39350.0,19500.0,58375.0,0.7406,MI
California State University-San Marcos,1,8082.0,13500.0,62908.0,0.5456,CA
Columbia Southern University,3,6760.0,13980.0,63534.0,0.3328,AL
Columbus College of Art & Design,2,40825.0,20500.0,40664.0,0.556,OH
Texas State University,1,11450.0,14993.0,56906.0,0.5528,TX
Chamberlain University-Indiana,3,19975.0,16458.0,92405.0,0.0,IN
DeVry University-Virginia,3,17408.0,12805.0,45987.0,0.0,VA
Rowan University,1,16574.0,16750.0,59988.0,0.6736,NJ
University of South Florida,1,6410.0,14976.0,57743.0,0.7676,FL
University of Houston,1,9717.0,14000.0,62377.0,0.6456,TX
Florida State University,1,5656.0,16100.0,61675.0,0.8561,FL
Brandeis University,2,68080.0,23250.0,77231.0,0.8603,MA
CEM College-San Juan,3,12900.0,3700.0,21033.0,0.859,PR
Ozarks Technical Community College,1,4512.0,6500.0,36455.0,0.3254,MO
Columbia Central University-Caguas,3,8400.0,5001.0,23134.0,0.5639,PR
Frostburg State University,1,10220.0,14867.0,55493.0,0.4966,MD
William Paterson University of New Jersey,1,15704.0,15750.0,57780.0,0.4396,NJ
Northwestern Michigan College,1,5860.0,8191.0,38167.0,0.2484,MI
The University of Texas at El Paso,1,9744.0,12573.0,50923.0,0.5017,TX
Daemen University,2,35218.0,15041.0,61808.0,0.5888,NY
Meredith College,2,45630.0,20066.0,51539.0,0.7007,NC
College for Creative Studies,2,53350.0,19000.0,44860.0,0.7061,MI
