INSTNM,CONTROL,TUITIONFEE_IN,DEBT_MDN,MD_EARN_WNE_P10,C150_4,STABBR
Sonoma State University,1,8624.0,13000.0,65986.0,0.5759,CA
William Jewell College,2,20610.0,19250.0,59268.0,0.6766,MO
Lewis University,2,39200.0,18750.0,66099.0,0.6661,IL
Carson-Newman University,2,34700.0,14519.0,48382.0,0.5324,TN
Philander Smith University,2,13014.0,14750.0,38427.0,0.3038,AR
Schiller International University,3,13680.0,23224.0,35529.0,0.3333,FL
Miami University-Hamilton,1,7491.0,16000.0,55076.0,0.2494,OH
Benedictine University,2,35940.0,17500.0,63446.0,0.5033,IL
Anderson University,2,37240.0,19500.0,48899.0,0.5379,IN
Centra College,2,12983.0,12000.0,60122.0,1.0,VA
Siena College,2,46580.0,21471.0,76079.0,0.7473,NY
Galen College of Nursing-Cincinnati,3,18048.0,16500.0,61480.0,0.5714,OH
Central Methodist University-College of Graduate and Extended Studies,2,7440.0,13292.0,48991.0,0.0,MO
Southern Virginia University,2,21280.0,14250.0,50002.0,0.3347,VA
Washington University in St Louis,2,65790.0,15000.0,86182.0,0.9426,MO
Lake Washington Institute of Technology,1,5997.0,10356.0,50669.0,0.3701,WA
Universidad Politecnica de Puerto Rico,2,9870.0,12830.0,47540.0,0.2808,PR
Mercy University,2,22880.0,15000.0,52055.0,0.4571,NY
University of Wisconsin-Oshkosh,1,8532.0,12500.0,55548.0,0.4614,WI
St. John's College,2,40504.0,13500.0,44985.0,0.5493,NM
Phoenix College,1,2358.0,5250.0,40870.0,0.1358,AZ
California Lutheran University,2,52560.0,18970.0,68712.0,0.696,CA
Marian University,2,40664.0,20000.0,58759.0,0.6722,IN
Vassar College,2,71030.0,17500.0,71366.0,0.9108,NY
Sullivan University,3,15480.0,10688.0,38008.0,0.7099,KY
Carolina University,2,17575.0,11005.0,32864.0,0.2155,NC
Rider University,2,41120.0,20500.0,62208.0,0.6133,NJ
Fort Hays State University,1,5923.0,14250.0,48928.0,0.477,KS
Seattle Pacific University,2,40407.0,16946.0,64506.0,0.6195,WA
Stillman College,2,12126.0,16000.0,35421.0,0.25,AL
Bridgewater State University,1,11808.0,18746.0,57466.0,0.5341,MA
University of Connecticut-Waterbury Campus,1,18140.0,18610.0,73997.0,0.5273,CT
Oakwood University,2,22512.0,21500.0,42488.0,0.4462,AL
Roanoke College,2,38068.0,22313.0,58047.0,0.6736,VA
Southern Connecticut State University,1,13438.0,15000.0,55043.0,0.4993,CT
University of Illinois Springfield,1,12252.0,14000.0,57103.0,0.5321,IL
Michigan State University,1,16458.0,19500.0,67253.0,0.8072,MI
Northwood University,2,34400.0,18750.0,63075.0,0.6332,MI
Pennsylvania College of Art and Design,2,32150.0,23980.0,33301.0,0.6852,PA
University of Iowa,1,11283.0,18207.0,64762.0,0.7463,IA
Saint Norbert College,2,45580.0,21500.0,58363.0,0.7129,WI
Drake University,2,52130.0,19500.0,71901.0,0.7403,IA
Arcadia University,2,49610.0,21852.0,58336.0,0.6674,PA
Gwynedd Mercy University,2,40122.0,23256.0,67145.0,0.5688,PA
Charter Oak State College,1,8506.0,12422.0,64209.0,0.6667,CT
Boise Bible College,2,11802.0,12749.0,33140.0,0.3158,ID
Kent State University at Geauga,1,7492.0,17500.0,45388.0,0.2027,OH
Florida Gateway College,1,3100.0,5500.0,37894.0,0.5391,FL
Simpson College,2,47656.0,20262.0,59274.0,0.6333,IA
California Polytechnic State University-San Luis Obispo,1,13596.0,15396.0,90768.0,0.864,CA
Provo College,3,16548.0,24262.0,39645.0,0.5135,UT
Professional Skills Institute,3,15884.0,12667.0,47765.0,0.4348,OH
State College of Florida-Manatee-Sarasota,1,3074.0,5720.0,40318.0,0.3829,FL
The University of Tennessee-Martin,1,10560.0,12981.0,44213.0,0.5254,TN
New Mexico Highlands University,1,7416.0,9500.0,45937.0,0.2618,NM
Marquette University,2,51170.0,20500.0,78257.0,0.8321,WI
SUNY Morrisville,1,8825.0,12000.0,43295.0,0.2808,NY
Minnesota State University Moorhead,1,10428.0,15000.0,50527.0,0.5732,MN
University of North Dakota,1,10951.0,15238.0,63552.0,0.6048,ND
Evangel University,2,28548.0,17495.0,46573.0,0.6503,MO
Galen College of Nursing-Tampa Bay,3,17048.0,16500.0,61480.0,0.6333,FL
University of Arkansas at Monticello,1,9292.0,11364.0,36902.0,0.4855,AR
Santa Clara University,2,61293.0,16845.0,109183.0,0.8792,CA
University of Arkansas-Fort Smith,1,7334.0,10750.0,41102.0,0.3788,AR
Western Connecticut State University,1,13401.0,17002.0,59115.0,0.5176,CT
University of Florida,1,6381.0,14000.0,71588.0,0.9112,FL
Transylvania University,2,46870.0,20000.0,54705.0,0.7148,KY
Wingate University,2,41636.0,12000.0,52649.0,0.4635,NC
Wheaton College (Massachusetts),2,63960.0,23000.0,67725.0,0.7282,MA
Georgetown University,2,68017.0,13500.0,103494.0,0.9481,DC
Delta State University,1,8605.0,15000.0,41991.0,0.4806,MS
Kean University,1,14299.0,17199.0,57237.0,0.4657,NJ
CUNY York College,1,7358.0,7500.0,56945.0,0.3225,NY
University of San Francisco,2,60492.0,19000.0,89812.0,0.7006,CA
Pennsylvania State University-Penn State Abington,1,15268.0,19500.0,63435.0,0.1975,PA
Luther College,2,52120.0,22200.0,59850.0,0.7112,IA
Saint Joseph's University - Philadelphia,2,53260.0,21500.0,86881.0,0.7884,PA
Adams State University,1,9824.0,11750.0,44372.0,0.3942,CO
Anderson University,2,34970.0,22000.0,42101.0,0.6568,SC
South Mountain Community College,1,2358.0,4500.0,39825.0,0.1632,AZ
